TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
313191.041,-9585.86,3619.53,12605.67,11801.72,9360.36,10495.28,15302.47,15519.0
313191.045,-9581.52,3620.82,12607.62,11812.97,9361.17,10506.73,15308.05,15525.15
313191.049,-9578.18,3621.53,12613.01,11812.83,9367.75,10505.87,15310.19,15526.2
313191.053,-9577.7,3620.48,12599.61,11793.66,9354.07,10485.94,15294.46,15510.13
313191.057,-9575.37,3624.82,12595.04,11798.1,9349.01,10490.56,15292.69,15509.18
313191.061,-9574.75,3625.82,12602.28,11801.67,9357.17,10495.38,15297.18,15513.28
313191.065,-9577.28,3625.3,12594.42,11796.14,9348.49,10490.66,15290.26,15507.51
313191.069,-9573.99,3631.26,12601.71,11801.91,9355.98,10495.23,15297.22,15514.09
313191.073,-9574.65,3631.31,12593.99,11794.28,9347.11,10487.13,15289.83,15506.22
313191.077,-9574.61,3631.31,12592.13,11797.62,9344.58,10490.7,15290.98,15505.94
313191.081,-9576.66,3628.45,12600.76,11804.53,9353.07,10496.86,15297.94,15513.85
313191.085,-9577.37,3624.87,12599.85,11799.1,9352.97,10492.37,15295.7,15511.28
313191.089,-9570.31,3633.5,12605.24,11809.78,9357.5,10502.86,15303.57,15518.81
313191.093,-9578.94,3626.44,12602.24,11801.53,9356.21,10494.85,15298.27,15513.42
313191.097,-9582.66,3622.58,12598.85,11789.47,9354.5,10482.36,15292.6,15508.27
313191.101,-9582.43,3622.53,12604.91,11792.85,9358.84,10486.89,15296.84,15512.33
313191.1049,-9582.23,3622.34,12606.1,11797.0,9359.69,10491.18,15300.37,15516.66
313191.1089,-9581.33,3624.15,12601.28,11796.52,9354.74,10489.85,15297.22,15513.71
313191.1129,-9579.95,3624.49,12603.0,11797.33,9356.55,10490.32,15298.56,15514.14
313191.1169,-9584.71,3620.24,12604.67,11801.72,9357.41,10493.9,15300.18,15516.28
313191.1209,-9581.09,3621.82,12612.73,11809.16,9365.51,10502.48,15307.95,15523.77
313191.1249,-9584.33,3619.43,12617.73,11814.88,9370.71,10509.68,15313.2,15528.44
313191.1289,-9584.67,3622.44,12613.82,11809.11,9366.42,10502.67,15308.91,15524.82
313191.1329,-9583.19,3619.96,12607.86,11804.73,9360.31,10498.19,15304.57,15519.38
313191.1369,-9589.24,3611.76,12598.18,11792.61,9350.59,10486.03,15293.17,15508.7
313191.1409,-9585.86,3613.62,12604.14,11799.62,9358.17,10492.71,15299.75,15515.95
313191.1449,-9591.77,3611.61,12601.62,11799.24,9355.78,10493.18,15298.42,15514.8
313191.1489,-9587.86,3615.76,12594.51,11788.32,9348.11,10483.22,15290.17,15505.84
313191.1529,-9590.15,3612.33,12586.74,11781.88,9340.43,10475.11,15284.02,15499.36
313191.1569,-9592.77,3609.71,12592.65,11787.23,9345.82,10480.93,15288.12,15504.51
313191.1609,-9584.24,3617.14,12602.14,11792.95,9356.4,10485.55,15296.13,15510.56
313191.1649,-9584.28,3618.29,12601.04,11793.85,9354.78,10486.84,15295.6,15511.56
313191.1687,-9585.76,3614.95,12596.85,11790.71,9349.25,10484.51,15292.93,15509.27
313191.1727,-9586.19,3615.76,12597.75,11789.99,9349.78,10484.84,15293.41,15508.89
313191.1767,-9578.09,3626.54,12612.25,11802.58,9365.08,10497.38,15306.67,15522.53
313191.1807,-9580.23,3622.82,12597.18,11792.23,9350.49,10486.75,15293.41,15509.56
313191.1847,-9585.0,3618.29,12593.99,11787.85,9349.39,10481.84,15289.59,15506.27
313191.1887,-9585.48,3618.67,12597.47,11790.9,9352.16,10485.32,15292.74,15508.46
