TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
694411.8609,-952.027,-220.332,-223.199,-691.25,1321.25,-2012.5,632.32,240.16,74.48
694411.9109,-951.295,-215.757,-223.321,-883.75,1260.0,-1575.0,618.64,241.68,88.16
694411.9609,-950.258,-216.306,-224.114,-525.0,1933.75,-1531.25,638.4,218.88,82.08
694412.0109,-949.648,-213.378,-223.138,-1977.5,1942.5,-1207.5,626.24,234.08,65.36
694412.0609,-957.822,-215.086,-221.674,-945.0,1137.5,-1723.75,638.4,221.92,86.64
694412.1109,-945.622,-225.212,-218.868,568.75,1531.25,-1960.0,635.36,232.56,68.4
694412.1609,-951.722,-214.11,-218.685,-1741.25,1627.5,-1032.5,641.44,231.04,86.64
694412.2109,-953.308,-214.598,-222.162,-717.5,2021.25,-1408.75,624.72,241.68,98.8
694412.2609,-949.038,-212.829,-224.907,-1837.5,1916.25,-1032.5,635.36,235.6,80.56
694412.3109,-951.295,-212.341,-228.201,-656.25,2633.75,-1391.25,642.96,235.6,80.56
694412.3609,-954.101,-219.783,-227.652,52.5,1601.25,-1426.25,623.2,220.4,80.56
694412.4109,-953.857,-211.975,-225.639,-638.75,883.75,-1986.25,636.88,234.08,85.12
694412.4609,-963.922,-217.343,-222.406,-1356.25,-700.0,-2240.0,620.16,226.48,68.4
694412.5109,-946.293,-218.502,-225.456,953.75,-1391.25,-2861.25,647.52,217.36,83.6
694412.5609,-930.677,-218.929,-223.504,805.0,1478.75,-1198.75,635.36,231.04,71.44
694412.6109,-955.443,-208.742,-213.561,-665.0,3290.0,-472.5,639.92,228.0,80.56
694412.661,-958.493,-222.467,-209.596,962.5,1942.5,-1916.25,646.0,237.12,76.0
694412.7109,-954.162,-213.439,-211.365,-1968.75,1216.25,-1391.25,636.88,229.52,77.52
694412.7609,-950.258,-214.415,-212.463,-1058.75,2870.0,-1671.25,636.88,226.48,85.12
694412.8109,-957.273,-219.051,-216.672,-385.0,2948.75,-1268.75,626.24,237.12,76.0
694412.8609,-950.99,-215.635,-217.099,332.5,3325.0,-1190.0,626.24,231.04,83.6
694412.9109,-952.759,-213.5,-221.186,-603.75,3141.25,-1076.25,641.44,243.2,65.36
694412.9609,-950.807,-215.94,-225.395,-787.5,2852.5,-1032.5,642.96,226.48,98.8
694413.0109,-949.526,-209.047,-224.419,-1925.0,1697.5,-1198.75,639.92,240.16,72.96
694413.0609,-953.979,-214.781,-224.114,306.25,2380.0,-2607.5,626.24,223.44,62.32
